date,source,server,timeouts,failures
2020-10-01,op-hk5,public,0.00709219858156,0
2020-10-01,op-nl5,public,0,0
2020-10-01,op-us5,public,0.00709219858156,0
2020-10-02,op-hk5,public,0.007042253521127,0
2020-10-02,op-nl5,public,0,0
2020-10-02,op-us5,public,0,0
2020-10-03,op-hk5,public,0.006944444444444,0
2020-10-03,op-nl5,public,0,0
2020-10-03,op-us5,public,0.013888888888889,0
2020-10-04,op-hk5,public,0,0
2020-10-04,op-nl5,public,0.006711409395973,0
2020-10-04,op-us5,public,0,0
2020-10-05,op-hk5,public,0.006451612903226,0
2020-10-05,op-nl5,public,0,0
2020-10-05,op-us5,public,0,0
2020-10-06,op-hk5,public,0.007142857142857,0
2020-10-06,op-nl5,public,0,0
2020-10-06,op-us5,public,0,0
2020-10-07,op-hk5,public,0,0
2020-10-07,op-nl5,public,0,0
2020-10-07,op-us5,public,0.02112676056338,0
2020-10-08,op-hk5,public,0,0
2020-10-08,op-nl5,public,0,0
2020-10-08,op-us5,public,0,0
2020-10-09,op-hk5,public,0,0
2020-10-09,op-nl5,public,0,0
2020-10-09,op-us5,public,0.013793103448276,0
2020-10-10,op-hk5,public,0.00709219858156,0
2020-10-10,op-nl5,public,0,0
2020-10-10,op-us5,public,0,0
2020-10-11,op-hk5,public,0.012738853503185,0
2020-10-11,op-nl5,public,0,0
2020-10-11,op-us5,public,0,0
2020-10-12,op-hk5,public,0,0
2020-10-12,op-nl5,public,0,0
2020-10-12,op-us5,public,0.006896551724138,0
2020-10-13,op-hk5,public,0,0
2020-10-13,op-nl5,public,0,0
2020-10-13,op-us5,public,0,0
2020-10-14,op-hk5,public,0,0
2020-10-14,op-nl5,public,0,0
2020-10-14,op-us5,public,0,0
2020-10-15,op-hk5,public,0.007874015748032,0
2020-10-15,op-nl5,public,0.015873015873016,0
2020-10-15,op-us5,public,0,0
2020-10-16,op-hk5,public,0,0
2020-10-16,op-nl5,public,0,0
2020-10-16,op-us5,public,0,0
2020-10-17,op-hk5,public,0.013605442176871,0
2020-10-17,op-nl5,public,0.041095890410959,0
2020-10-17,op-us5,public,0,0
2020-10-18,op-hk5,public,0.005952380952381,0
2020-10-18,op-nl5,public,0,0
